,timeID,startyear,endyear,k BP,bio12,bio18,bio19
1,-200,-20100,-20001,22,1485,477,321
2,-199,-20000,-19901,21.9,1468,472,335
3,-198,-19900,-19801,21.8,1456,464,328
4,-197,-19800,-19701,21.7,1469,488,334
5,-196,-19700,-19601,21.6,1508,516,333
6,-195,-19600,-19501,21.5,1530,521,325
7,-194,-19500,-19401,21.4,1517,519,326
8,-193,-19400,-19301,21.3,1521,521,330
9,-192,-19300,-19201,21.2,1482,496,329
10,-191,-19200,-19101,21.1,1491,521,314
11,-190,-19100,-19001,21,1484,502,319
12,-189,-19000,-18901,20.9,1480,497,320
13,-188,-18900,-18801,20.8,1530,495,329
14,-187,-18800,-18701,20.7,1493,491,332
15,-186,-18700,-18601,20.6,1509,499,324
16,-185,-18600,-18501,20.5,1501,480,325
17,-184,-18500,-18401,20.4,1484,463,325
18,-183,-18400,-18301,20.3,1469,477,326
19,-182,-18300,-18201,20.2,1448,470,317
20,-181,-18200,-18101,20.1,1482,489,329
21,-180,-18100,-18001,20,1473,464,324
22,-179,-18000,-17901,19.9,1419,439,324
23,-178,-17900,-17801,19.8,1466,472,328
24,-177,-17800,-17701,19.7,1476,483,314
25,-176,-17700,-17601,19.6,1452,511,312
26,-175,-17600,-17501,19.5,1473,479,318
27,-174,-17500,-17401,19.4,1499,492,328
28,-173,-17400,-17301,19.3,1455,441,328
29,-172,-17300,-17201,19.2,1419,427,323
30,-171,-17200,-17101,19.1,1441,436,318
31,-170,-17100,-17001,19,1453,454,323
32,-169,-17000,-16901,18.9,1460,456,324
33,-168,-16900,-16801,18.8,1446,467,320
34,-167,-16800,-16701,18.7,1413,435,313
35,-166,-16700,-16601,18.6,1370,423,309
36,-165,-16600,-16501,18.5,1379,444,305
37,-164,-16500,-16401,18.4,1371,430,302
38,-163,-16400,-16301,18.3,1352,405,302
39,-162,-16300,-16201,18.2,1424,463,309
40,-161,-16200,-16101,18.1,1387,406,308
41,-160,-16100,-16001,18,1368,403,309
42,-159,-16000,-15901,17.9,1321,363,306
43,-158,-15900,-15801,17.8,1331,381,310
44,-157,-15800,-15701,17.7,1312,355,305
45,-156,-15700,-15601,17.6,1302,346,310
46,-155,-15600,-15501,17.5,1258,307,309
47,-154,-15500,-15401,17.4,1206,283,303
