,timeID,startyear,endyear,cal yr BP,k BP,bio01,bio16,bio17
131,20,1900,1990,-50,0,4.520833492,423,252
130,19,1800,1899,50,0.1,3.820833445,469,242
129,18,1700,1799,150,0.2,3.712499857,441,259
128,17,1600,1699,250,0.3,3.491666555,473,250
127,16,1500,1599,350,0.4,3.783333302,446,251
126,15,1400,1499,450,0.5,4.166666508,480,260
125,14,1300,1399,550,0.6,3.658333302,498,246
124,13,1200,1299,650,0.7,3.408333302,474,247
123,12,1100,1199,750,0.8,3.445833206,474,252
122,11,1000,1099,850,0.9,3.674999952,498,253
121,10,900,999,950,1,3.762500048,482,251
120,9,800,899,1050,1.1,3.616666555,483,255
119,8,700,799,1150,1.2,3.545833349,468,249
118,7,600,699,1250,1.3,3.608333349,519,259
117,6,500,599,1350,1.4,3.525000095,507,260
116,5,400,499,1450,1.5,3.179166555,498,246
115,4,300,399,1550,1.6,4.070833206,515,259
114,3,200,299,1650,1.7,3.895833492,485,248
113,2,100,199,1750,1.8,4.008333206,513,253
112,1,0,99,1850,1.9,3.704166651,471,251
111,0,-100,-1,1950,2,3.366666555,522,245
110,-1,-200,-101,2050,2.1,3.21666646,459,244
109,-2,-300,-201,2150,2.2,3.233333349,465,245
108,-3,-400,-301,2250,2.3,3.362499952,494,261
107,-4,-500,-401,2350,2.4,3.466666698,487,251
106,-5,-600,-501,2450,2.5,3.445833206,496,251
105,-6,-700,-601,2550,2.6,3.345833302,470,254
104,-7,-800,-701,2650,2.7,3.9375,500,249
103,-8,-900,-801,2750,2.8,3.533333302,509,249
102,-9,-1000,-901,2850,2.9,4.0625,489,253
101,-10,-1100,-1001,2950,3,4.1875,529,247
100,-11,-1200,-1101,3050,3.1,3.837499857,514,246
99,-12,-1300,-1201,3150,3.2,3.687499762,511,247
98,-13,-1400,-1301,3250,3.3,3.725000143,513,245
97,-14,-1500,-1401,3350,3.4,3.366666555,485,250
96,-15,-1600,-1501,3450,3.5,3.695833206,531,259
95,-16,-1700,-1601,3550,3.6,3.745833158,500,246
94,-17,-1800,-1701,3650,3.7,3.395833254,525,247
93,-18,-1900,-1801,3750,3.8,3.558333397,513,252
92,-19,-2000,-1901,3850,3.9,3.491666555,492,240
91,-20,-2100,-2001,3950,4,3.733333349,502,260
90,-21,-2200,-2101,4050,4.1,3.458333254,488,251
89,-22,-2300,-2201,4150,4.2,3.483333349,508,247
88,-23,-2400,-2301,4250,4.3,3.512499809,485,241
